CommectIds,Comments
TREAS-TRIP-2016-0005-0003,"Dear Treasury,<br/><br/>My fundamental question is: why has this insurance program not sunsetted? It has been nearly 15 years since 9/11, plenty of time for the private sector insurance industry to respond. The original insurance program was created to provide stability in a time of crisis. Fine, time has now ended the government&#39;s need to intervene.<br/><br/>This is why Americans have become disenchanted with their government: programs never go away and the bureaucracy just continues to grow. The proposed rule making also notes it will torture a large number of smaller insurance providers. Will the plethora of information collection requirements and rules from increasing numbers of Federal organs never end? <br/><br/>I suggest Treasury do the minimal effort required under the law. Also, whatever liaison there is between Treasury and Congress should suggest that this program not be reauthorized in the future. Plenty of time has elapsed for the private sector to respond."
TREAS-TRIP-2016-0005-0025,See attached file(s)
TREAS-TRIP-2016-0005-0019,"The National League of Cities respectfully submits its comments, attached, in response to the Department of Treasury&#39;s request for comments on potential rules concerning the participation of captive insurers and other self-insurance arrangements in the Terrorism Risk Insurance Program (TRIP). "
TREAS-TRIP-2016-0005-0007,See attached file(s)
TREAS-TRIP-2016-0005-0026,Please find attached comments of the Property Casualty Insurers Association of America (PCI) on Treasury&#39;s proposed revisions to the regulations governing the Terrorism Risk Insurance Program.  
TREAS-TRIP-2016-0005-0023,"See attached file(s) - for the comments of the American Insurance Association on the proposed rule (2015 TRIA<br/>Reauthorization Proposed Rules Comments).<br/><br/>Please let me know if you have trouble opening or accessing the PDF document.<br/><br/>Respectfully submitted,<br/><br/> <br/><br/>J. Stephen (&quot;Stef&quot;) Zielezienski<br/>Senior Vice President &amp; General Counsel<br/>American Insurance Association<br/>"
TREAS-TRIP-2016-0005-0011,See attached file(s)
TREAS-TRIP-2016-0005-0018,See attached file(s)
TREAS-TRIP-2008-0016-0008,
TREAS-TRIP-2008-0016-0005,
TREAS-TRIP-2008-0016-0007,TRIA Recoupment Proposed Rule Comments of the American Insurance <br/>Association
TREAS-TRIP-2008-0016-0003,WHY SHOULD AMERICAN TAXPAYERS INSURE COMMERCIAL <br/>ENTERPRISES WHEN THEIR HOMES WOULD BE DESTROYED AS WELL. <br/>THE INEPT SECURITY SYSTEM OF THIS COUNTRY WHERE MILLIONS ARE <br/>SNEAKING ACROSS OUR BORDERS EVERY SINGLE DAY OF THE YEAR <br/>SHOWS THAT THE US IS  NOT WELL PROTECTED. GEORGE BUSH HAS LET <br/>THE BILLIONS OF ILLEGAL LAWBREAKING IMMIGRANTS FLOOD THE <br/>UNITED STATES. THE US IS NOT SECURE IN ANY WAY. OUR BORDERS <br/>ARE A SEIVE. I SEE NO REASON TO FURTHER DESTROY INDIVIDUAL <br/>TAXPAYERS WHEN GEORGE BUSH HAS LET THIS NATION GO <br/>ABSOLUTELY UNSECURED. EVERYONE KNOWS THOSE TERRORISTS WILL <br/>BE BACK AND THE BORDERS REMAIN LIKE A SEIVE. OUR PORTS ARE <br/>UNPROTECTED. TERRORISTS ARE RIDING OUR PLANES. THE SITUATION IS <br/>LUDICROUS EXCEPT IT IS NOT FUNNY BUT SERIOUS. WE ARE JUST AS <br/>LIABLE TO GET BOMBED AS WE WERE BEFORE 9/11. OUR GOVT HAS <br/>DONE NOT A THING. I SEE NO REASON FOR TAXPAYERS TO BE ON THE <br/>HOOK TO PROTECT ANYBODY ELSE SINCE OUR OWN TRAITOROUS GOVT <br/>HAS ALLOWED THE TERRORIST TO ENTER THIS COUNTRY. WE NEED TO <br/>ROOT OUT EVERY ILLEGAL LAWBREAKING IMMIGRANT IN THIS COUNTRY <br/>AND SEND THEM HOME. WE NEED TO INVESTIGATE EVERYONE WHO HAS <br/>COME TO THIS COUNTRY IN THE LAST 20 YEARS AND INVESTIGATE THEM. <br/>FAILURE TO DO SO WILL LEAD TO MORE TERRORISM.  
TREAS-TRIP-2008-0016-0004,"It is very different when a set of good insurers are dealt an unpredictable blow by a <br/>common enemy, and the loss is supported by the public mint, than when, the very <br/>integrity of ownership of our common land having been threatened by haphazard <br/>calculations, the perpetrators expect support for their losses. By the first, we <br/>loose dwellings, but preserve our friends and so the dwellings can be restored. By <br/>the second we aim to preserve those who would destroy the very integrity of the <br/>ownership of our lands. The first will work out well, even if you proceed with the <br/>most haphazard calculation. The second will fail us all the more for the more you <br/>succeed...Unless the current frivolous financial companies are deemed more <br/>important than domestic ownership of our own lands and resources. Our money <br/>need not answer EVERY note drawn on it, but only every good note. Those who <br/>draw bad notes must fail with those who honor them. Then let mercy flow, and the <br/>mint free the oppressed as well as the oppressor."
TREAS-TRIP-2008-0016-0006,Comments in attachment
TREAS-TRIP-2010-0005-0004,Attached are the comments of the American Insurance Association in response to the U.S. Department of the Treasury Notice of Proposed Rulemaking with respect to the &quot;final netting&quot; of claims under the Terrorism Risk Insurance Act.
TREAS-TRIP-2010-0005-0002,"To: Terrorism Risk Insurance Program<br/>Public Comment Record, Suite 2100<br/>Department of the Treasury<br/>1425 New York Avenue, NW., <br/>Washington, DC 20220.<br/><br/>Subject: TRIA Final Netting Proposed Rule Comments<br/><br/><span style='padding-left: 30px'></span>As an interested student of public administration, I appreciate the sincere and hard work of the Department of the Treasury for looking out for the interest of the people in this country. Also, I would like to share with my perspective on the final netting proposed rule related to the Terrorism Risk Insurance Program in the Act of 2002. In my view the Treasury should not have to notify insurers of the date every time, rather they should keep a fixed period, such as 180 days for every insurers to complete their claims, so this way you would save the Treasury&rsquo;s time and have more organization at work. Also, I would appreciate better clarification of which categories the Department of the Treasury is going to use in order define their definition of large and small business that have appeared in this proposed rule under part IV. Procedural Requirements: &ldquo;Insurers that are affected by these regulations tend to be large businesses; therefore, Treasury has determined that the rule will not affect a substantial number of small entities.&rdquo;<br/><br/>Sincerely,<br/><br/>Mohammed Alkaltham<br/><br/>Doctorate Student of Public Administration<br/>University of La Verne<br/>663 S. Pasadena Avenue, Apt. 17<br/>Glendora, CA 91740<br/>Mohammed.alkaltham@lavvern.edu"
TREAS-TRIP-2010-0005-0005,The Property Casualty Insurers Association of America submits the attached comments to the TRIA Final Netting Proposed Rule.
TREAS-TRIP-2010-0005-0003,See attached comments on the TRIA Final Netting Proposed Rule.
TREAS-TRIP-2016-0006-0006,See attached file(s)
TREAS-TRIP-2016-0006-0005,See attached file(s)
TREAS-TRIP-2016-0006-0002,See attached state on TRIP from the Association of Bermuda Insurers and Reinsurers (ABIR).
TREAS-TRIP-2016-0006-0007,See attached comment letter.
TREAS-TRIP-2016-0006-0003,See attached file(s)
TREAS-TRIP-2016-0006-0008,See attached file(s)
TREAS-TRIP-2016-0006-0004,Attached please find comments of the American Insurance Association in response to the Federal Insurance Office notice in the Federal Register regarding its upcoming 2016 Report on the Terrorism Risk Insurance Program.
TREAS-TRIP-2020-0022-0009,"Federal Insurance Office Attention: Richard Ifft Room 1410 MT Department of the Treasury<br/>1500 Pennsylvania Avenue, NW Washington, DC 20220<br/><br/>Re: 2019 TRIA Reauthorization  Proposed Rules Comments<br/><br/>Dear Mr. Ifft:<br/><br/>These comments are submitted on behalf of the Alliance of Nonprofits for Insurance, RRG, (ANI) a <br/>risk retention group formed under the captive laws of Vermont. ANI is a 501(c)(3) tax-exempt <br/>nonprofit as authorized by IRS Code 501(n).  It holds an AM Best rating of A and insures more than <br/>10,000 501(c)(3) nonprofits in 32 states, which are also its members. It also<br/>has a 20-year track record of providing an extensive array of risk management and loss control <br/>services to these nonprofits to limit any possible harm to our communities.<br/><br/>I am replying to question (1) (d) from the questions concerning captive insurance posed by the <br/>Treasury in its November  10, 2020 Notice of Proposed Rulemaking and Request for Comments (which I <br/>have reproduced below and then answered) .<br/><br/>(1) With respect to captive insurers:<br/>(d) Whether changes to the Program structure for captive insurers could prevent<br/>policyholders (who may be unable to obtain terrorism risk insurance in the conventional market for <br/>a reasonable price) from obtaining such insurance from captive insurers.<br/><br/>Changes to the Program structure for captive insurers could prevent policyholders from obtaining <br/>terrorism insurance from captive insurers. This problem is especially acute with respect to RRGs <br/>that have unique risk profiles and coverage needs that the commercial insurance market does not <br/>serve well.  In many cases, an RRG is the only way policyholders may obtain basic casualty coverage <br/>and not having access to TRIA for their own RRGs would remove the single source of<br/>terrorism coverage available to them.<br/><br/>To understand why ANI members would be unable to obtain coverage if we did not offer<br/>coverage, it helps to know who they are. Our members are mostly small and medium people serving <br/>nonprofits that help the very people most likely to need help during a crisis like a terrorist <br/>attack or a pandemic. They serve the people who have little or no reserves and who are likely to be <br/>at immediate risk during any type of disruption. As a result, our member-insureds have unique <br/>insurance needs that are not well-served by the commercial insurance markets.<br/>Consequently, they have formed a risk retention group to close the gap left by commercial carriers. <br/>The majority of ANI member-organizations  require insurance coverage for allegations of sexual <br/>abuse. They also require many specialized coverages including for volunteers, commercial auto <br/>insurance for vans and busses transpo1ting people with disabilities driven by employees and <br/>volunteers, as well as hired and non-owned insurance to cover volunteers driving their own cars on <br/>behalf of nonprofits. These exposures are disfavored by commercial insurers.<br/><br/>Nonprofits own RRG, ANI, would be unable to find or afford terrorism coverage in the commercial <br/>reinsurance market.   These organizations, such as homeless shelters, food banks, group homes for <br/>teens, senior centers, already find it difficult to find affordable casualty insurance from <br/>commercial insurance companies.   If these organizations&#39; own RRG had to compete for terrorism <br/>insurance in the commercial market, it would exacerbate the already daunting task of purchasing <br/>reinsurance in the commercial market for these sorts of risk and make getting any type of coverage <br/>for terrorism highly unlikely .  And not having access to terrorism insurance is simply not an <br/>option for these community-based organizations.  Nonprofit organizations that would be needed to <br/>provide essential support to our communities in the event<br/>of a terrorist attack would be unable to purchase terrorism coverage from perhaps the only source <br/>of casualty insurance available to them.  This would leave them without resources to defend <br/>themselves in the event that they were held liable for failing to protect their employees and<br/>clients from such an event.<span style='padding-left: 30px'></span><br/><br/>Congress enacted TRIA following the 911 terrorist attacks to address market disruptions resulting <br/>from the attacks and ensure the continued availability and affordability of property casualty <br/>insurance for terrorism risk.  It is hard to imagine a group that is more deserving of this TRIA <br/>solution than the members of captives formed as RRGs, particular ANI. This has become more <br/>obvious during this COVID pandemic based on the increased needs of the US population for exactly <br/>the services offered by community-based, people serving organizations and other RRG members that <br/>are already disfavored by the commercial insurance market.<br/><br/>We urge you to retain the TRIA program as configured so that organizations like those served by ANI <br/>can have the terrorism protection they need from the only source available to them.<br/><br/>Pamela Davis<br/>Founder, President and CEO<br/>"
TREAS-TRIP-2020-0022-0016,See attached file(s)
TREAS-TRIP-2020-0022-0015,Please find attached the comments of the American Property Casualty Insurance Association (APCIA) in response to Treasury&#39;s Notice of Proposed Rulemaking and Request for Comments on the Terrorism Risk Insurance Program Updated Regulations in Light of the Terrorism Risk Insurance Program Reauthorization Act.  
TREAS-TRIP-2020-0022-0008,"2019 TRIA Reauthorization Proposed Rules Comments<span style='padding-left: 30px'></span><br/><br/>Executive Summary<br/><br/>The requirement for a cyber attack to be dangerous to life, property or infrastructure means that the most likely route by which a cyber incident overseas could inflict damage in the US would be via an attack against OT which is deployed inside and outside the US. The current terrorist capability to execute this type of attack is limited, but the threat is evolving and the exposure is increasing massively with the adoption of IoT technology. The classification of an act of terrorism could be challenging, and we recommend that TRIA should be informed by the insurance industry&#39;s work on defining what constitutes an Act of War in the context of cyber attack. A further consideration is that the most likely form of harm to the US economy through a cyber event outside the country would be via non-damage business interruption, which would likely not meet the TRIA requirement for danger to life, property or infrastructure. If public-private partnerships such as TRIA are to be relevant to the most harmful impacts of cyber events, they should address losses from non-damage business interruption.  Finally, a case-by-case approach to evaluating damage within the US would add friction and uncertainty to the provision of insurance - a common lexicon of impact would be of great value in creating a common understanding.<br/><br/>Nick Beecroft<br/>CyberCube Analytics Inc.<br/><br/>"
TREAS-TRIP-2020-0022-0007,See attached file(s)
TREAS-TRIP-2020-0022-0003,This comment letter focuses on the request for comment regarding cyber events occurring outside of the United States. See attached file.
TREAS-TRIP-2020-0022-0006,2019 TRIA Reauthorization Proposed Rules Comments - submitted by the American Academy of Actuaries
TREAS-TRIP-2020-0022-0013,"Comments from the Vermont Captive Insurance Association (VCIA), Captive Insurance Companies Association (CICA), and the Captive Insurance Council of the District of Columbia, Inc. (CIC-DC).<br/><br/>See attached file(s)"
TREAS-TRIP-2020-0022-0005,This comment letter focuses on the proposed rule changes with respect to the outsized role captive insurers play in the Program and whether the Program should permit public identification of individual captive insurers.  Please see attached file.
TREAS-TRIP-2020-0022-0017,"Federal Insurance Office<br/>U.S. Department of the Treasury<br/>ATTN: Richard Ifft<br/>1500 Pennsylvania Avenue, NW<br/>Room 1410 MT<br/>Washington, D.C. 20220<br/><br/>RE:  2019 TRIA Reauthorization Proposed Rules<br/>Swiss Re appreciates the opportunity to address the Treasury&#39;s Notice of Proposed Rulemaking (NPRM) and Request for Comments Concerning Certification Process and Captive Insurers regarding cyber-related losses under the Terrorism Risk Insurance Act. These comments focus on the Program&#39;s Treatment of Cyber Events Outside the United States, and the Certification Process. <br/><br/>Program&#39;s Treatment of Cyber Events Outside the United States<br/>The NPRM requests comment on whether cyber terrorism attacks originating abroad can cause damage within the United States. Swiss Re believes that such attacks can certainly lead to cyber-related losses within the United States. The definition for act of terrorism requires a damage within the United States but does not require the perpetrators to be physically present in the country. Additionally, Swiss Re believes that insured losses reaching the $5,000,000 threshold and qualifying as &quot;damage within the United States&quot; for the purposes of the Program should be covered to the fullest extent. Lastly, for the purposes of evaluating losses after a cyber terrorism attack, the Treasury should do so by measuring the total claimed damages of terrorism insured losses.<br/><br/>Certification Process<br/>Regarding the NPRM request for comments on the Treasury&#39;s certification process, Swiss Re agrees with the recommendation from the Advisory Committee on Risk Sharing Mechanisms (ACRSM) that a petitioning procedure should be introduced. Swiss Re believes that allowing third parties such as one or more of policyholders, insurers or reinsurers would create a better petitioning process to initiate TRIP coverage. Assuming the petitioner were to claim that the $5,000,000 insured loss threshold was met, the secretary should initiate a review to certify the event and decide if coverage should be provided. In order to meet the requirements of TRIA, petitioners should submit information that provides the dollar amount of the losses relating to the attack. Additionally, petitioners should provide any further information that may help the government decide whether the loss meets the criteria for TRIP coverage. Finally, in respect to the recommendation by ACRSM on time periods and notification requirements, Swiss Re believes that by reducing the time period to 30 days, the market can receive more frequent updates.<br/><br/>Thank you for this opportunity to provide comments. Swiss Re looks forward to continuing work with the Treasury on TRIA related issues.<br/>"
TREAS-TRIP-2020-0022-0014,See attached file(s)
TREAS-TRIP-2020-0022-0002,This comment letter focuses on the proposed rule changes with respect to the definitions of:<br/>&bull;<span style='padding-left: 30px'></span>Act of terrorism; and<br/>&bull;<span style='padding-left: 30px'></span>Insured loss<br/>See attached file.
TREAS-TRIP-2020-0022-0019,See attached file(s)
TREAS-TRIP-2020-0022-0010,"Reinsurance Association of America<br/><br/>RE:<span style='padding-left: 30px'></span>RAA Submission in Response to Request for Comments on Treasury Terrorism Risk Insurance Program; Updated Regulations in Light of the Terrorism Risk Insurance Program Reauthorization Act of 2019, and for Other Purposes FR Doc. 2020-24522<br/><br/>See attached file(s)"
TREAS-TRIP-2020-0022-0018,See attached file(s)
TREAS-TRIP-2020-0022-0012,Please see attached comment letter.
TREAS-TRIP-2020-0022-0004,This comment letter focuses on the request for comments as to the certification process under the Terrorism Risk Insurance Program. See attached file.
TREAS-TRIP-2020-0022-0011,"<br/> <br/><br/>January 11, 2021<br/><br/>Mr. Richard Ifft<br/>Senior Insurance Regulatory Policy Analyst<br/>Federal Insurance Office<br/>U.S. Department of the Treasury<br/>1500 Pennsylvania Avenue, NW<br/>Washington, DC  20220<br/>ID:TRIP-2020-0022-0001.<br/><br/>Dear Mr. Ifft, <br/><br/>Marsh &amp; McLennan is the worlds leading professional services firm in the areas of risk, strategy and people with operations across 130 countries.  The Company is pleased to respond to Treasurys request for comment on, proposed rules to implement technical changes to the Terrorism Risk Insurance Program required by the Terrorism Risk Insurance Program Reauthorization Act of 2019.<br/><br/>Marsh is the worlds largest captive insurance manager, with 1,350 captives under management that write a combined premium volume of $60 billion worldwide. In the United States, we have 450 captives under management, of which approximately 200 write directly one or more Terrorism Risk Insurance Program eligible lines of business, therefore participating in the TRIP.  <br/><br/>Our submission includes, (i) comments principally regarding captive insurance companies, and disclosure of information provided to Treasury by captive insurance companies. We also include comments regarding the application of TRIA to cyber losses, and regarding the certification process within TRIA of an act of terrorism, (ii) Marshs 2020 Captive Landscape Report, and (iii) Marshs report titled, The Terrorism Risk Insurance Program Reauthorization Act and US-Domiciled Captives.<br/><br/>If you have any questions or would like additional information, please do not hesitate to contact me.<br/><br/>Sincerely,<br/><br/> <br/><br/>Erick R. Gustafson<br/><br/> <br/>"
TREAS-TRIP-2021-0007-0002,"CBI submits the attached comment letter in response to Treasury&rsquo;s Notice appearing at 86 FR 17265 (April 1, 2021) with respect to the following issues not fully evident by reference to the aggregated data collected by Treasury:<br/>1.<span style='padding-left: 30px'></span>Risk of pervasive non-compliance by small insurers with the premium disclosure requirement stated in Section 103(b)(2) of the Act; and<br/>2.<span style='padding-left: 30px'></span>Risk of adverse impact of policyholder surcharges on the competitiveness of small insurers driven by excessive backstop recoveries by captive insurers.<br/>"
TREAS-TRIP-2021-0007-0003,"Mr. Ifft,<br/> <br/>Please find comment from NCCI to aid in the analysis of the Terrorism Risk Insurance Program.<br/><br/>Tim Tucker<br/>Washington Affairs Executive "
TREAS-TRIP-2020-0010-0011,See attached file(s)
TREAS-TRIP-2020-0010-0012,See attached file(s)
TREAS-TRIP-2020-0010-0010,See attached file(s)
TREAS-TRIP-2020-0010-0004,Please see attached files for submission from Marsh &amp; McLennan Companies.
TREAS-TRIP-2020-0010-0002,"Treasury&rsquo;s 2018 report revealed the outsized role captive insurance companies play in the program.  For example, we learned:<br/>&bull;<span style='padding-left: 30px'></span>At least 500 captives participate in the program, although &ldquo;Treasury does not have a comprehensive U.S. captive count&rdquo;;<br/>&bull;<span style='padding-left: 30px'></span>Captives account for 23% of the all US terrorism premiums earned despite representing only 4% of the total commercial property and casualty insurance market; and<br/>&bull;<span style='padding-left: 30px'></span>Captives would receive about 95% of all backstop recoveries under a hypothetical truck bomb attack in Chicago.<br/><br/>As explained in the attached, Treasury&rsquo;s 2020 report should build on this analysis to quantify the serious risks terrorism insurance captives present to:<br/>&bull;<span style='padding-left: 30px'></span>The integrity of the program;<br/>&bull;<span style='padding-left: 30px'></span>The assets of regular policyholders such as churches, charities, schools and small businesses that cannot afford to set up their own insurance companies; and<br/>&bull;<span style='padding-left: 30px'></span>Funding for the care of victims of NBCR terrorist attacks and the families left behind. <br/><br/>The attached comments propose a public listing of participating insurers with basic information so Congress and the public can better understand these risks and hold the corporations creating them to account.<br/>"
TREAS-TRIP-2020-0010-0003,"As described in the attached, Treasury&rsquo;s 2018 report revealed significant compliance risks in the program such as:<br/><br/>&bull;<span style='padding-left: 30px'></span>Up to 29% of policies are issued without an identifiable terrorism premium, although insurers cannot recover from the federal backstop unless they have provided policyholders with a &ldquo;separate line item&rdquo; disclosure; and<br/><br/>&bull;<span style='padding-left: 30px'></span>The terrorism premium insurers reported to Treasury for 2017 may be as much as $1.1 billion short of the actual amount of premium attributable to the risk.<br/><br/>Despite these and other compliance risks, Treasury currently has no tools to investigate or enforce compliance with the program until after an insurance company claims a payout from the backstop. By then it will be far too late for the insurer to fix any compliance issues. Treasury&rsquo;s only recourse at that point is to deny the requested reimbursement and, if appropriate, pursue civil or criminal penalties against the insurer and the company executive signing the certificate of compliance.<br/><br/>This is not a hypothetical risk.  It is playing out right now with certifications signed by executives under another of Treasury&rsquo;s catastrophe relief programs. The Secretary of Treasury has become personally involved in the ex post scrutiny of applications and payouts under the Paycheck Protection Program including ordering mandatory audits of large payouts and threatening criminal liability for false certifications. In response, a significant number of recipients have returned funds to the program.<br/><br/>There is one big difference between the Paycheck Protection Program and the Terrorism Risk Insurance Program. The Paycheck Protection Program was enacted, implemented and executed with minimal time for those involved to think through and address all the compliance risks. The Terrorism Risk Insurance Program is a two-decade old program currently generating more than $3 billion of premium a year for the industry at a 0% loss ratio. We should expect little tolerance for anyone unprepared when it comes time to perform.<br/><br/>Treasury can mitigate compliance risks to the program by implementing a rule requiring insurers to establish a formal TRIA compliance program and appoint a responsible officer as it has done with foreign insurance companies under the Foreign Account Tax Compliance Act.<br/>"
TREAS-TRIP-2020-0010-0005,"The Terrorism Risk Insurance Act (TRIA) tries to prevent double payments of policyholder and claimant losses under multiple federal disaster relief programs. When Treasury implemented TRIA&rsquo;s double payment rules more than 15 years ago it assumed future disaster relief programs would look a lot like those previously rolled out for hurricanes, floods and earthquakes.<br/><br/>COVID-19 has shaken that assumption. The attached comments submitted to Treasury examine the new Paycheck Protection Program and Emergency Paid Sick Leave Act. If used to assist businesses and employees recover after a large-scale terrorist attack, these programs based on these designs risk:<br/>&bull;<span style='padding-left: 30px'></span>Tens of billions of dollars in double compensation for lost wages and business interruption; and<br/>&bull;<span style='padding-left: 30px'></span>Reduction of an insurer&rsquo;s effective backstop recovery from the 80% promised in TRIA to 50% or less.<br/><br/>Treasury has the opportunity now to study the design and operation of the disaster relief programs implemented under the Families First Coronavirus Response Act (FFCRA) and the Coronavirus Economic Stabilization (CARES) Act of 2020. It could then advise Congress whether those program designs would produce sound economic outcomes if relied upon in response to catastrophic terrorist attack. If Treasury&rsquo;s analysis concludes these new programs would not coordinate well with TRIA, it could recommend a statutory fix to TRIA or design enhancements for future relief programs.<br/>"
TREAS-TRIP-2020-0010-0009,"Regarding the Department of the Treasury docket TREAS-TRIP-2020-0010, I fully support the Trump Risk Insurance Program (TRIP). Small businesses and yes, places of worship, need to be able to insure themselves against losses due to the ineptitude of the Trump administration. To take a single example, Trump&#39;s bungling of the Covid-19 pandemic has resulted in the deaths of  over 112,000 Americans, a number which is unfortunately still increasing at an alarming rate.<br/><br/>Some might argue that Trump Risk Insurance is only needed in the short term, because 1) Trump surely has learned from his mistakes, and 2) he may be voted out of office in November. But there is no evidence that Trump has learned anything. All he cares about is a number that he can boast about. Initially he boasted about the low number of cases. When that became too high he boasted about the low number of deaths. When that became too high he boasted about the relatively low mortality rate. And now that this is also too high, Trump is boasting about the number of people that haven&#39;t died:<br/><br/>&quot;We saved, possibly, two million, two and a half million lives.  Now, it could have been a million lives; I don&#39;t think anything less than that.  But if you think we&#39;re at 105 million today - 105,000 today, that would mean, at the lowest number, it would be 10 times that amount.&quot; - President Trump, June 8 2020<br/><br/>You see the problem. If another 100,000 Americans die Trump will say that he saved 3 million lives. Yes he really is that dense. So the November election is the only chance to reduce this risk, which is why the GOP is working so hard at voter suppression."
TREAS-TRIP-2020-0010-0006,"The request for comments inquiries regarding cyber exposures under TRIA. In addition, the recent extension of the program mandated GAO to undertake an assessment of how the cyber exposure is treated under the existing program and whether TRIA should be expanded to include a wider range of cyber events. <br/>In response to the GAO study, the Centers for Better Insurance proposed the attached framework as a way GAO may wish to approach this report. Specifically, the attached framework examines:<br/>&bull;<span style='padding-left: 30px'></span>The current cyber insurance market<br/>&bull;<span style='padding-left: 30px'></span>The types of cyber events that could be considered for inclusion in the program<br/>&bull;<span style='padding-left: 30px'></span>The nature of a meaningful cyber make available requirement<br/>&bull;<span style='padding-left: 30px'></span>Challenges with the current backstop structure<br/><br/>See attached file."
TREAS-TRIP-2020-0010-0008,Attached are comments from the National Council on Compensation Insurance (NCCI).
TREAS-TRIP-2020-0010-0007,Please see the attached letter from the Vermont Captive Insurance Association regarding the effectiveness of the TRIA Program for the 2020 Effectiveness Report.
TREAS-TRIP-2008-0017-0004,"Reynold E. Becker<br/>Vice President, Global Issues<br/>and Research<br/><br/>October 30, 2008<br/><br/>Howard Leikin, Deputy Director<br/>Terrorism Risk Insurance Program<br/>Public Comment Record, Suite 2100<br/>Department of the Treasury<br/>1425 New York, Ave., NW<br/>Washington, DC 20220<br/><br/>Re: TRIA Cap on Annual Liability Proposed Rule Comments, 31 CFR Part 50, RIN <br/>1505-AB92<br/><br/>Dear Howard:<br/><br/>Thank you for the opportunity to provide comments regarding the proposed pro <br/>rata <br/>claims<br/>allocation provisions of the Terrorism Risk Insurance Program. PCI supports the <br/>Treasury<br/>Department approach of adhering to general insurance industry practices in the <br/>development of this<br/>process. After reviewing the proposed rules, we suggest the following for your <br/>consideration with<br/>regard to workers compensation claims:<br/>&bull; Determine Pro Rata Loss Percentages (PRLPs) under Section 50.92(a) on <br/>a &ldquo;claim&rdquo;, rather<br/>than a &ldquo;policy&rdquo; basis.<br/>o Unlike property insurance policies, workers compensation losses can involve <br/>hundreds<br/>or thousands of claimants from the same event at the same location.<br/>o Workers compensation claims are often, by their nature, &ldquo;long-tail&rdquo; obligations. <br/>Further,<br/>workers injured during the same event may receive partial payments in differing <br/>amounts<br/>or on different schedules.<br/>o Using a &ldquo;policy&rdquo;, rather than &ldquo;claim&rdquo;, basis for pro-ration may provide for ease of <br/>auditing<br/>at a macro level.<br/>o However, using a &ldquo;policy&rdquo; basis for proration can produce effective PRLPs on a <br/>claim<br/>basis that are different from the promulgated PRLP. For example, in Scenario 1, <br/>one<br/>claimant receives 92% of the full insured loss, while the other receives just 58%.<br/>o Applying the PRLP on a claim basis would avoid subsidization of some <br/>claimants at the<br/>expense of other workers insured under the same policy.<br/>&bull; Provide additional flexibility for handling partial payments vs. the final claim <br/>settlement<br/>amount under Section 50.93(a).<br/>o &ldquo;Estimated&rdquo; and &ldquo;actual&rdquo; final claim settlement amounts may differ significantly.<br/>o As indicated before, workers compensation claims are often, by their <br/>nature, &ldquo;long-tail&rdquo;<br/>obligations. As indicated in attached Scenario 2, life expectancies can affect the <br/>amount<br/>of estimated settlements.<br/>o However, actual mortality may differ from original assumptions, and produce <br/>unexpected<br/>results. Additionally, the issue is not limited to mortality cases. Similar results <br/>could be<br/>produced by a faster than expected medical recovery and/or an earlier return to <br/>work by<br/>the injured worker.<br/>o These situations may result in unfairness to the insurer if not fully reimbursed <br/>under the<br/>Program.<br/>o Thus we recommend adding the following language: &ldquo;However, in the event that <br/>the<br/>actual final claim settlement amount is less than the most recent estimate, or in <br/>the<br/>event that the most recent estimate is less than the previous estimate, then the <br/>pro rata<br/>share for that loss is the greater of the amount already paid or the amount <br/>computed by<br/>applying the PRLP to the estimated or actual final claim settlement amount.&rdquo;<br/>We look forward to working with you to address these issues. If you have any <br/>questions, please<br/>contact me.<br/>Sincerely,<br/><br/>Reynold E. Becker<br/>847-553-3803<br/>rey.becker@pciaa.net<br/><br/>Attachments<br/>RB/bw"
TREAS-TRIP-2008-0017-0005,Attached please find comments of the American Insurance Association with <br/>respect to the proposed role regarding the TRIA cap on annual liability.
TREAS-TRIP-2008-0017-0002,Comments in the attachments.
TREAS-TRIP-2008-0017-0003,Please see attached Comments.
TREAS-TRIP-2017-0015-0013,See attached file(s)
TREAS-TRIP-2017-0015-0004,"Why are we still importing oil and gas ?? Energy dept date 7/31/2017 shows we are importing oil products from many countries; import in April 2017 was 307,314 thousand barrels then increased to 329,468 thousand barrels in month of May. One of the noticeable was from Russia april import 9,231 thousand barrels, then in May 2017 increased to 12,425 thousand barrels, Why are we hurting American Energy industry ? Mexico went from april import of 20,392 thousand barrels to 25,100 barrels in May 2017, why are we hurting American with regulations. America has more oil and gas than any other nation yet we have more regulations against our middle class workers in oil and gas. should be exporting, rules are backwards"
